model_name,likes,downloads,category,task,library,dataset,dataset_config_name
cardiffnlp/twitter-roberta-base-sentiment-latest,277,22948384,INCModelForSequenceClassification,text-classification,transformers,tweet_eval,emoji
cardiffnlp/twitter-roberta-base-sentiment,228,1451306,INCModelForSequenceClassification,text-classification,transformers,tweet_eval,emoji
SamLowe/roberta-base-go_emotions,220,6742813,INCModelForSequenceClassification,text-classification,transformers,go_emotions,simplified
vectara/hallucination_evaluation_model,107,11166,INCModelForSequenceClassification,text-classification,transformers,snli,
arpanghoshal/EmoRoBERTa,82,8820,INCModelForSequenceClassification,text-classification,transformers,go_emotions,simplified
joeddav/distilbert-base-uncased-go-emotions-student,62,15266,INCModelForSequenceClassification,text-classification,transformers,go_emotions,simplified
cmarkea/distilcamembert-base-sentiment,31,1963,INCModelForSequenceClassification,text-classification,transformers,amazon_reviews_multi,all_languages
huggingface/CodeBERTa-language-id,30,25071,INCModelForSequenceClassification,text-classification,transformers,code_search_net,all
bhadresh-savani/bert-base-go-emotion,28,575,INCModelForSequenceClassification,text-classification,transformers,go_emotions,simplified
cointegrated/rubert-tiny2-cedr-emotion-detection,24,9786,INCModelForSequenceClassification,text-classification,transformers,cedr,main
deepset/deberta-v3-base-injection,23,73886,INCModelForSequenceClassification,text-classification,transformers,deepset/prompt-injections,
citizenlab/twitter-xlm-roberta-base-sentiment-finetunned,21,6206,INCModelForSequenceClassification,text-classification,transformers,jigsaw_toxicity_pred,
argilla/alpaca-garbage-collector-multilingual,17,5,INCModelForSequenceClassification,text-classification,sentence-transformers,argilla/alpaca-gigo-detector,
Hate-speech-CNERG/bert-base-uncased-hatexplain,15,984,INCModelForSequenceClassification,text-classification,transformers,hatexplain,
cardiffnlp/twitter-roberta-base-irony,15,7045517,INCModelForSequenceClassification,text-classification,transformers,tweet_eval,emoji
laiyer/deberta-v3-base-prompt-injection,15,2374666,INCModelForSequenceClassification,text-classification,transformers,Lakera/gandalf_ignore_instructions,
lvwerra/distilbert-imdb,12,32183,INCModelForSequenceClassification,text-classification,transformers,imdb,
citizenlab/distilbert-base-multilingual-cased-toxicity,10,597,INCModelForSequenceClassification,text-classification,transformers,jigsaw_toxicity_pred,
ivanlau/language-detection-fine-tuned-on-xlm-roberta-base,10,14041,INCModelForSequenceClassification,text-classification,transformers,common_language,
ynie/roberta-large-snli_mnli_fever_anli_R1_R2_R3-nli,10,11458,INCModelForSequenceClassification,text-classification,transformers,snli,
mrm8488/bert-mini-finetuned-age_news-classification,9,883,INCModelForSequenceClassification,text-classification,transformers,ag_news,
poom-sci/WangchanBERTa-finetuned-sentiment,9,3408,INCModelForSequenceClassification,text-classification,transformers,wongnai_reviews,
arpanghoshal/EkmanClassifier,9,205,INCModelForSequenceClassification,text-classification,transformers,go_emotions,simplified
Hate-speech-CNERG/bert-base-uncased-hatexplain-rationale-two,8,294,INCModelForSequenceClassification,text-classification,transformers,hatexplain,
philschmid/BERT-Banking77,8,1549,INCModelForSequenceClassification,text-classification,transformers,banking77,
TrajanovRisto/bert-esg,8,99,INCModelForSequenceClassification,text-classification,transformers,TrajanovRisto/esg-sentiment,
climatebert/distilroberta-base-climate-detector,7,40639,INCModelForSequenceClassification,text-classification,transformers,climatebert/climate_detection,
bergum/xtremedistil-l6-h384-go-emotion,6,12552,INCModelForSequenceClassification,text-classification,transformers,go_emotions,simplified
m3hrdadfi/zabanshenas-roberta-base-mix,6,238,INCModelForSequenceClassification,text-classification,transformers,wili_2018,
mrm8488/distilroberta-finetuned-banking77,6,57,INCModelForSequenceClassification,text-classification,transformers,banking77,
mrm8488/distilroberta-finetuned-tweets-hate-speech,6,63,INCModelForSequenceClassification,text-classification,transformers,tweets_hate_speech_detection,
Jean-Baptiste/roberta-large-financial-news-sentiment-en,6,1197,INCModelForSequenceClassification,text-classification,transformers,Jean-Baptiste/financial_news_sentiment_mixte_with_phrasebank_75,
bespin-global/klue-roberta-small-3i4k-intent-classification,5,620,INCModelForSequenceClassification,text-classification,transformers,kor_3i4k,
juliensimon/reviews-sentiment-analysis,5,101,INCModelForSequenceClassification,text-classification,transformers,generated_reviews_enth,
Remicm/sentiment-analysis-model-for-socialmedia,5,64,INCModelForSequenceClassification,text-classification,transformers,imdb,
DTAI-KULeuven/robbert-v2-dutch-sentiment,5,1479,INCModelForSequenceClassification,text-classification,transformers,dbrd,
lxyuan/banking-intent-distilbert-classifier,5,421,INCModelForSequenceClassification,text-classification,transformers,banking77,
iknow-lab/azou,5,78,INCModelForSequenceClassification,text-classification,transformers,nsmc,
aychang/roberta-base-imdb,4,941,INCModelForSequenceClassification,text-classification,transformers,imdb,
elozano/tweet_emotion_eval,4,2,INCModelForSequenceClassification,text-classification,transformers,tweet_eval,emoji
elozano/tweet_sentiment_eval,4,9,INCModelForSequenceClassification,text-classification,transformers,tweet_eval,emoji
joeddav/distilbert-base-uncased-agnews-student,4,135,INCModelForSequenceClassification,text-classification,transformers,ag_news,
microsoft/tapex-large-finetuned-tabfact,4,134,INCModelForSequenceClassification,text-classification,transformers,tab_fact,tab_fact
JiaqiLee/bert-agnews,4,3,INCModelForSequenceClassification,text-classification,transformers,ag_news,
JiaqiLee/imdb-finetuned-bert-base-uncased,4,20766,INCModelForSequenceClassification,text-classification,transformers,imdb,
seara/rubert-tiny2-ru-go-emotions,4,4946,INCModelForSequenceClassification,text-classification,transformers,seara/ru_go_emotions,simplified
fmops/distilbert-prompt-injection,4,597912,INCModelForSequenceClassification,text-classification,transformers,deepset/prompt-injections,
SamLowe/roberta-base-go_emotions-onnx,4,1938,INCModelForSequenceClassification,text-classification,transformers,go_emotions,simplified
bsingh/roberta_goEmotion,3,1,INCModelForSequenceClassification,text-classification,transformers,go_emotions,simplified
daekeun-ml/koelectra-small-v3-nsmc,3,16,INCModelForSequenceClassification,text-classification,transformers,nsmc,
